url,page,review_index,teks_ulasan,tanggal
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71951,1,1,Sungguh pengalaman yang luar biasa mengunjungi hotel ini. Alangkah baiknya jika saya bisa datang ke sini suatu hari nanti.,Diulas 1 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71951,1,2,"Staf hotel ramah dan cepat tanggap. Hotelnya asri dan nyaman. Kamar mandi bersih, handuknya wangi.",Diulas 2 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71951,1,3,"Staff hotel yang sangat ramah, proses check in juga cepat, lokasi strategis, sarapan beragam, sangat dekat dengan mal.",Diulas 4 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71951,1,4,Staff hotel sangat ramah dan proses check in & check out cepat... Kamar bersih dan luas... Sarapan pagi banyak pilihan dan enak... Dekat tempat makanan dan BIP... Terima kasih...,Diulas 4 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71951,1,5,"Kalau nyari hotel selalu Santika karena pasti service-nya excellent, kamar wangi, semua fasilitas bisa berfungsi dengan baik, dan makanannya enak semua. Kolam renangnya juga besar dan dalam jadi puas renangnya.",Diulas 5 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71951,1,6,Staff hotel sangat ramah dan breakfast-nya enak 🙂,Diulas 7 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71951,1,7,"Baru-baru ini saya berkesempatan menginap di hotel ini, dan memang benar-benar hotel klasik. Meskipun merupakan properti yang sudah lama berdiri dan telah teruji oleh waktu, hotel ini berhasil mempertahankan suasana yang indah dan ramah. Hotel ini memiliki pesona dan keanggunan tertentu yang seringkali kurang dimiliki oleh hotel-hotel modern yang lebih baru. Namun, yang paling berkesan dari kunjungan saya adalah pelayanannya. Saya ingin memberikan pujian khusus kepada Jovita, yang membuat pengalaman saya benar-benar tak terlupakan. Profesionalisme dan keramahannya luar biasa; dia melakukan lebih dari yang diharapkan untuk memastikan semuanya sempurna.",Diulas 7 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71951,1,8,"Para stafnya ramah, dan kamarnya bersih serta nyaman.",Diulas 7 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71951,1,9,Tolong dipertahankan yang sudah baik...,Diulas 8 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71951,1,10,"Tempat strategis, mau ke mana-mana dekat",Diulas 8 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71951,1,11,"Terletak strategis di pusat kota Bandung. Menu sarapannya cukup baik untuk hotel kelas ini. Kamarnya cukup luas. Namun, kamar mandinya mudah basah.",Diulas 9 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71951,1,12,Berkesan & akan kembali ke sana lagi jika ke Bandung,Diulas 13 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71951,1,13,"Hotel yang dekat dengan pusat kota, mau ke mana-mana juga dekat, breakfast bervariasi, hanya pancuran kamar mandinya saja yang sedikit bermasalah ketika berwudu, tapi overall semua oke.",Diulas 14 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71951,1,14,Selalu nyaman dengan Santika Bandung. Terbaik,Diulas 15 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71951,1,15,Nyaman dan staff hotel sangat ramah,Diulas 15 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71951,1,16,"Lokasi dekat BIP dan Riau Junction, aneka kuliner dan pinggir jalan utama. Terdapat playground dan pool. Kamar luas dan bersih. Parkiran luas dan aman. Makanan enak dan bervariasi.",Diulas 15 minggu lalu
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/71951,1,17,"Lokasi hotel istimewa, dekat ke mana-mana. Staff-nya ramah-ramah. Luas kamarnya cukup luas.",Diulas 17 minggu lalu
