aspect,label,split,full_count,full_pct,split_count,split_pct,abs_pct_diff
Kenyamanan,positif,train,3909,0.2650708618702109,3127,0.26506739001441043,3.471855800463164e-06
Kenyamanan,positif,validation,3909,0.2650708618702109,391,0.26508474576271185,1.3883892500954342e-05
Kenyamanan,positif,test,3909,0.2650708618702109,391,0.26508474576271185,1.3883892500954342e-05
Kenyamanan,negatif,train,1579,0.1070726249406659,1263,0.10706111723319488,1.1507707471020145e-05
Kenyamanan,negatif,validation,1579,0.1070726249406659,158,0.10711864406779661,4.6019127130716986e-05
Kenyamanan,negatif,test,1579,0.1070726249406659,158,0.10711864406779661,4.6019127130716986e-05
Kenyamanan,netral,train,252,0.017088221333152506,201,0.017038230058489447,4.999127466305889e-05
Kenyamanan,netral,validation,252,0.017088221333152506,26,0.017627118644067796,0.00053889731091529
Kenyamanan,netral,test,252,0.017088221333152506,25,0.01694915254237288,0.00013906879077962495
Kenyamanan,none,train,9007,0.6107682918559707,7206,0.6108332626939053,6.49708379345526e-05
Kenyamanan,none,validation,9007,0.6107682918559707,900,0.6101694915254238,0.0005988003305469336
Kenyamanan,none,test,9007,0.6107682918559707,901,0.6108474576271187,7.916577114797096e-05
Kebersihan,positif,train,3480,0.23598019936258222,2784,0.23599220140713742,1.2002044555203817e-05
Kebersihan,positif,validation,3480,0.23598019936258222,348,0.2359322033898305,4.799597275170764e-05
Kebersihan,positif,test,3480,0.23598019936258222,348,0.2359322033898305,4.799597275170764e-05
Kebersihan,negatif,train,591,0.040075947650369564,473,0.04009493939137069,1.8991741001124496e-05
Kebersihan,negatif,validation,591,0.040075947650369564,59,0.04,7.594765036956358e-05
Kebersihan,negatif,test,591,0.040075947650369564,59,0.04,7.594765036956358e-05
Kebersihan,netral,train,70,0.004746728148097918,56,0.004746969568534373,2.4142043645539873e-07
Kebersihan,netral,validation,70,0.004746728148097918,7,0.0047457627118644066,9.654362335114602e-07
Kebersihan,netral,test,70,0.004746728148097918,7,0.0047457627118644066,9.654362335114602e-07
Kebersihan,none,train,10606,0.7191971248389503,8484,0.7191658896329576,3.12352059926857e-05
Kebersihan,none,validation,10606,0.7191971248389503,1061,0.7193220338983051,0.00012490905935480523
Kebersihan,none,test,10606,0.7191971248389503,1061,0.7193220338983051,0.00012490905935480523
Pelayanan,positif,train,4955,0.3360005424832169,3964,0.33601763160125453,1.7089118037605378e-05
Pelayanan,positif,validation,4955,0.3360005424832169,496,0.336271186440678,0.00027064395746106973
Pelayanan,positif,test,4955,0.3360005424832169,495,0.33559322033898303,0.00040732214423389035
